🕘️更新时间,#genre#
2025-08-22 14:31:05,http://192.168.5.1:7188/udp/239.253.157.96:8550

📺央视频道,#genre#
CCTV-1,http://192.168.5.1:7188/udp/239.253.157.96:8550
CCTV-1,http://111.48.246.74/000000001000PLTV/88888888/224/3221229665/1.m3u8
CCTV-1,http://111.48.246.74/000000001000PLTV/88888888/224/3221229968/1.m3u8
CCTV-1,http://111.48.246.74/000000001000PLTV/88888888/224/3221230440/1.m3u8
CCTV-1,http://111.48.246.74/000000001000PLTV/88888888/224/3221230563/1.m3u8
CCTV-2,http://192.168.5.1:7188/udp/239.69.1.102:10250
CCTV-2,http://111.48.246.74/000000001000PLTV/88888888/224/3221229893/1.m3u8
CCTV-2,http://111.48.246.74/000000001000PLTV/88888888/224/3221230359/1.m3u8
CCTV-2,http://qjrhc.jydjd.top:2911/udp/224.1.100.94:11111
CCTV-3,http://192.168.5.1:7188/udp/239.69.1.122:10370
CCTV-3,http://111.48.246.74/000000001000PLTV/88888888/224/3221230150/1.m3u8
CCTV-3,http://111.48.246.74/000000001000PLTV/88888888/224/3221230394/1.m3u8
CCTV-4,http://192.168.5.1:7188/udp/239.69.1.232:11034
CCTV-4,http://192.168.5.1:7188/udp/239.69.1.138:10466
CCTV-4,http://111.48.246.74/000000001000PLTV/88888888/224/3221229862/1.m3u8
CCTV-4,http://111.48.246.74/000000001000PLTV/88888888/224/3221230489/1.m3u8
CCTV-4,http://111.48.246.74/000000001000PLTV/88888888/224/3221230585/1.m3u8
CCTV-4,http://111.48.246.74/000000001000PLTV/88888888/224/3221230530/1.m3u8
CCTV-4,http://192.168.5.1:7188/udp/239.69.1.231:11028
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-5,http://192.168.5.1:7188/udp/239.69.1.123:10376
CCTV-5,http://111.48.246.74/000000001000PLTV/88888888/224/3221230165/1.m3u8
CCTV-5,http://111.48.246.74/000000001000PLTV/88888888/224/3221230400/1.m3u8
CCTV-5,http://omnix.cn:4000/udp/225.1.8.89:8000
CCTV-5,http://qjrhc.jydjd.top:2911/udp/224.1.100.82:11111
CCTV-5+,http://111.48.246.74/000000001000PLTV/88888888/224/3221230455/1.m3u8
CCTV-6,http://192.168.5.1:7188/udp/239.69.1.124:10382
CCTV-6,http://111.48.246.74/000000001000PLTV/88888888/224/3221230154/1.m3u8
CCTV-6,http://111.48.246.74/000000001000PLTV/88888888/224/3221230451/1.m3u8
CCTV-7,http://192.168.5.1:7188/udp/239.69.1.103:10256
CCTV-7,http://111.48.246.74/000000001000PLTV/88888888/224/3221229895/1.m3u8
CCTV-7,http://111.48.246.74/000000001000PLTV/88888888/224/3221230442/1.m3u8
CCTV-7,http://omnix.cn:4000/udp/225.1.8.7:8104
CCTV-7,http://101.66.199.161:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8,http://192.168.5.1:7188/udp/239.69.1.125:10388
CCTV-8,http://111.48.246.74/000000001000PLTV/88888888/224/3221230169/1.m3u8
CCTV-8,http://111.48.246.74/000000001000PLTV/88888888/224/3221230445/1.m3u8
CCTV-9,http://192.168.5.1:7188/udp/239.69.1.104:10262
CCTV-9,http://111.48.246.74/000000001000PLTV/88888888/224/3221229864/1.m3u8
CCTV-9,http://111.48.246.74/000000001000PLTV/88888888/224/3221230330/1.m3u8
CCTV-10,http://192.168.5.1:7188/udp/239.69.1.105:10268
CCTV-10,http://111.48.246.74/000000001000PLTV/88888888/224/3221229874/1.m3u8
CCTV-10,http://111.48.246.74/000000001000PLTV/88888888/224/3221230491/1.m3u8
CCTV-11,http://192.168.5.1:7188/udp/239.69.1.154:10560
CCTV-11,http://111.48.246.74/000000001000PLTV/88888888/224/3221229869/1.m3u8
CCTV-11,http://111.48.246.74/000000001000PLTV/88888888/224/3221230444/1.m3u8
CCTV-12,http://192.168.5.1:7188/udp/239.69.1.106:10274
CCTV-12,http://111.48.246.74/000000001000PLTV/88888888/224/3221229897/1.m3u8
CCTV-12,http://111.48.246.74/000000001000PLTV/88888888/224/3221230363/1.m3u8
CCTV-13,http://192.168.5.1:7188/udp/239.253.157.161:9040
CCTV-13,http://111.48.246.74/000000001000PLTV/88888888/224/3221230493/1.m3u8
CCTV-14,http://192.168.5.1:7188/udp/239.69.1.107:10280
CCTV-14,http://111.48.246.74/000000001000PLTV/88888888/224/3221229868/1.m3u8
CCTV-14,http://111.48.246.74/000000001000PLTV/88888888/224/3221230446/1.m3u8
CCTV-14,http://111.48.246.74/000000001000PLTV/88888888/224/3221230447/1.m3u8
CCTV-15,http://192.168.5.1:7188/udp/239.69.1.155:10566
CCTV-15,http://111.48.246.74/000000001000PLTV/88888888/224/3221229861/1.m3u8
CCTV-15,http://111.48.246.74/000000001000PLTV/88888888/224/3221230495/1.m3u8
CCTV-16,http://192.168.5.1:7188/udp/239.69.1.247:11124
CCTV-17,http://192.168.5.1:7188/udp/239.69.1.152:10548
CCTV-17,http://111.48.246.74/000000001000PLTV/88888888/224/3221229831/1.m3u8
CETV-1,http://111.48.246.74/000000001000PLTV/88888888/224/3221229790/1.m3u8
CETV-1,http://111.48.246.74/000000001000PLTV/88888888/224/3221230523/1.m3u8
CETV-1,http://192.168.5.1:7188/udp/239.69.1.110:10298
CETV-1,http://1b6467f415.iok.la:9931/tsfile/live/1125_1.m3u8
CETV-2,http://111.48.246.74/000000001000PLTV/88888888/224/3221230171/1.m3u8
CETV-2,http://111.48.246.74/000000001000PLTV/88888888/224/3221230389/1.m3u8
CETV-2,http://192.168.5.1:7188/udp/239.69.1.183:10734
CETV-4,http://192.168.5.1:7188/udp/239.69.2.29:11328
CETV-4,http://111.48.246.74/000000001000PLTV/88888888/224/3221229939/1.m3u8
CETV-4,http://111.48.246.74/000000001000PLTV/88888888/224/3221230466/1.m3u8

💰央视付费频道,#genre#
央视台球,http://192.168.5.1:7188/udp/239.69.1.98:10224
央视台球,http://111.48.246.74/000000001000PLTV/88888888/224/3221230173/1.m3u8
央视台球,http://111.48.246.74/000000001000PLTV/88888888/224/3221230484/1.m3u8
风云音乐,http://111.48.246.74/000000001000PLTV/88888888/224/3221230089/1.m3u8
风云音乐,http://111.48.246.74/000000001000PLTV/88888888/224/3221230541/1.m3u8
风云音乐,http://192.168.5.1:7188/udp/239.69.1.90:10180
第一剧场,http://192.168.5.1:7188/udp/239.69.1.74:10084
第一剧场,http://111.48.246.74/000000001000PLTV/88888888/224/3221230488/1.m3u8
风云剧场,http://www.lizhinas.top:1009/rtp/239.252.219.89:5140
怀旧剧场,http://192.168.5.1:7188/udp/239.69.1.89:10174
怀旧剧场,http://111.48.246.74/000000001000PLTV/88888888/224/3221230091/1.m3u8
怀旧剧场,http://111.48.246.74/000000001000PLTV/88888888/224/3221230543/1.m3u8
女性时尚,http://111.48.246.74/000000001000PLTV/88888888/224/3221230545/1.m3u8
女性时尚,http://www.lizhinas.top:1009/rtp/239.252.219.94:5140
高尔夫网球,http://111.48.246.74/000000001000PLTV/88888888/224/3221230085/1.m3u8
高尔夫网球,http://111.48.246.74/000000001000PLTV/88888888/224/3221230535/1.m3u8
高尔夫网球,http://192.168.5.1:7188/udp/239.69.1.83:10138
高尔夫网球,http://www.lizhinas.top:1009/rtp/239.252.219.95:5140
风云足球,http://192.168.5.1:7188/udp/239.69.1.81:10126
风云足球,http://111.48.246.74/000000001000PLTV/88888888/224/3221230482/1.m3u8
电视指南,http://ygbh.site/php/bfgd.php?id=164
世界地理,http://192.168.5.1:7188/udp/239.69.1.91:10186
世界地理,http://111.48.246.74/000000001000PLTV/88888888/224/3221230072/1.m3u8
世界地理,http://111.48.246.74/000000001000PLTV/88888888/224/3221230486/1.m3u8
兵器科技,http://111.48.246.74/000000001000PLTV/88888888/224/3221230162/1.m3u8
兵器科技,http://111.48.246.74/000000001000PLTV/88888888/224/3221230537/1.m3u8
兵器科技,http://192.168.5.1:7188/udp/239.69.1.79:10114
兵器科技,http://www.lizhinas.top:1009/rtp/239.252.219.98:5140

📡卫视频道,#genre#
广东卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230503/1.m3u8
广东卫视,http://satellitepull.cnr.cn/live/wxgdws/playlist.m3u8
浙江卫视,http://192.168.5.1:7188/udp/239.253.157.143:8932
浙江卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221229788/1.m3u8
浙江卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230460/1.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8#mitv://generationnexxxt.com:19806/7bf4b3a65eaf421ab6d71bd8dcc4547a
湖南卫视,http://192.168.5.1:7188/udp/239.253.157.139:8908
湖南卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221229739/1.m3u8
湖南卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221229983/1.m3u8
北京卫视,http://192.168.5.1:7188/udp/239.69.2.22:11286
北京卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221229741/1.m3u8
北京卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230501/1.m3u8
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
湖北卫视,http://192.168.5.1:7188/udp/239.253.157.115:8664
湖北卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221229812/1.m3u8
湖北卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230457/1.m3u8
湖北卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230509/1.m3u8
湖北卫视,http://www.745612.xyz:7788/rtp/235.254.198.72:1564
黑龙江卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221229816/1.m3u8
黑龙江卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230462/1.m3u8
黑龙江卫视,http://ygbh.site/php/bfgd.php?id=095
安徽卫视,http://192.168.5.1:7188/udp/239.69.1.70:10060
安徽卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221229778/1.m3u8
安徽卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230505/1.m3u8
重庆卫视,http://192.168.5.1:7188/udp/239.69.1.149:10530
重庆卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221229756/1.m3u8
重庆卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230139/1.m3u8
东方卫视,http://192.168.5.1:7188/udp/239.69.1.173:10674
东方卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221229808/1.m3u8
东方卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230448/1.m3u8
东南卫视,http://192.168.5.1:7188/udp/239.69.1.108:10286
东南卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221229810/1.m3u8
东南卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230507/1.m3u8
东南卫视,http://satellitepull.cnr.cn/live/wx32fjws/playlist.m3u8
甘肃卫视,http://192.168.5.1:7188/udp/239.69.2.23:11292
甘肃卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230502/1.m3u8
甘肃卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230521/1.m3u8
甘肃卫视,http://satellitepull.cnr.cn/live/wxgsws/playlist.m3u8
广西卫视,http://192.168.5.1:7188/udp/239.69.1.191:10788
广西卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230328/1.m3u8
贵州卫视,http://192.168.5.1:7188/udp/239.69.1.150:10536
贵州卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221229758/1.m3u8
贵州卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230138/1.m3u8
海南卫视,http://192.168.5.1:7188/udp/239.69.1.151:10542
海南卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221229794/1.m3u8
海南卫视,http://111.48.246.74/000000001000PLTV/88888888/224/3221230141/1.m3u8
河北卫视,http://192.168.5.1:7188/udp/239.69.1.157:10578
